"","rf.false","rf.true"
"index_219095",1,0
"index_220913",1,0
"index_153955",0.044,0.956
"index_146713",1,0
"index_98223",0.64,0.36
"index_211412",1,0
"index_248050",0.338,0.662
"index_154857",1,0
"index_88711",1,0
"index_114866",1,0
"index_221087",0.338,0.662
"index_216072",1,0
"index_217296",1,0
"index_216625",1,0
"index_248696",0,1
"index_199939",0.998,0.002
"index_166250",1,0
"index_9216",0.162,0.838
"index_83608",1,0
"index_112843",1,0
"index_49833",1,0
"index_107829",1,0
"index_234457",0.522,0.478
"index_65280",0.044,0.956
"index_178019",0.356,0.644
"index_133876",1,0
"index_190320",0.988,0.012
"index_82307",1,0
"index_7959",1,0
"index_127655",1,0
"index_15199",0.64,0.36
"index_86546",1,0
"index_103529",0.954,0.046
"index_37343",1,0
"index_234432",0.64,0.36
"index_241006",1,0
"index_191669",1,0
"index_183053",1,0
"index_29477",0.55,0.45
"index_204459",0,1
"index_139841",1,0
"index_48746",0.044,0.956
"index_232582",1,0
"index_2196",0.45,0.55
"index_246263",1,0
"index_55368",0.954,0.046
"index_21025",0.002,0.998
"index_27860",0.058,0.942
"index_46543",0.194,0.806
"index_13654",1,0
"index_190896",1,0
"index_69637",0.004,0.996
"index_24214",1,0
"index_166170",1,0
"index_3909",0,1
"index_189502",1,0
"index_108828",1,0
"index_206902",1,0
"index_188766",1,0
"index_234110",0.058,0.942
"index_141336",1,0
"index_30346",1,0
"index_180293",0.004,0.996
"index_201097",1,0
"index_220229",1,0
"index_191296",1,0
"index_87238",0.69,0.31
"index_60762",1,0
"index_27620",1,0
"index_127628",1,0
"index_74829",1,0
"index_52767",1,0
"index_110237",0.356,0.644
"index_246121",1,0
"index_221333",1,0
"index_66048",1,0
"index_153349",1,0
"index_215259",1,0
"index_13335",1,0
"index_19930",0.008,0.992
"index_129213",1,0
"index_119210",1,0
"index_240430",1,0
"index_87973",1,0
"index_161519",0.368,0.632
"index_81995",0.442,0.558
"index_120075",0.1,0.9
"index_15909",1,0
"index_231370",1,0
"index_246820",0.874,0.126
"index_52859",0.442,0.558
"index_112866",0.45,0.55
"index_9523",1,0
"index_241002",0.222,0.778
"index_68121",1,0
"index_83435",1,0
"index_130538",1,0
"index_38204",1,0
"index_242747",0.874,0.126
"index_67872",0.878,0.122
"index_195286",0.55,0.45
"index_62411",1,0
"index_238710",1,0
"index_89460",1,0
"index_233981",0.058,0.942
"index_224043",0.988,0.012
"index_57955",0.346,0.654
"index_128734",1,0
"index_195068",0,1
"index_238707",0.988,0.012
"index_203743",0.356,0.644
"index_53052",0.988,0.012
"index_9949",0.058,0.942
"index_102975",1,0
"index_136789",1,0
"index_192188",0.368,0.632
"index_148018",0.878,0.122
"index_104581",0.222,0.778
"index_187281",0.064,0.936
"index_106896",0.878,0.122
"index_27923",1,0
"index_123259",1,0
"index_10473",0.45,0.55
"index_174818",0.658,0.342
"index_140839",1,0
"index_100779",1,0
"index_162602",1,0
"index_42262",1,0
"index_75923",0.62,0.38
"index_99639",1,0
"index_106376",1,0
"index_188833",1,0
"index_211537",1,0
"index_210700",1,0
"index_78893",1,0
"index_204390",0.744,0.256
"index_53673",0.194,0.806
"index_133170",1,0
"index_224521",1,0
"index_206532",1,0
"index_220292",1,0
"index_185174",1,0
"index_20927",0.1,0.9
"index_186705",0.978,0.022
"index_76471",1,0
"index_90343",1,0
"index_234391",1,0
"index_89300",0.744,0.256
"index_130952",1,0
"index_109365",1,0
"index_82898",0.002,0.998
"index_220",0.162,0.838
"index_166180",1,0
"index_187589",1,0
"index_63904",0.97,0.03
"index_36389",1,0
"index_219062",1,0
"index_73471",1,0
"index_1331",0.998,0.002
"index_33583",1,0
"index_59945",0.356,0.644
"index_216870",0.058,0.942
"index_196483",1,0
"index_39669",0.016,0.984
"index_141289",1,0
"index_165625",1,0
"index_220726",0.02,0.98
"index_216910",0.162,0.838
"index_239729",0.928,0.072
"index_33720",1,0
"index_114142",1,0
"index_89182",1,0
"index_83132",1,0
"index_57024",1,0
"index_3150",0.162,0.838
"index_211941",1,0
"index_177382",1,0
"index_234782",1,0
"index_77180",1,0
"index_205442",0.942,0.058
"index_224629",1,0
"index_157399",0.874,0.126
"index_6500",0.078,0.922
"index_156123",0.874,0.126
"index_90886",1,0
"index_232948",1,0
"index_164675",1,0
"index_903",0.058,0.942
"index_44810",1,0
"index_186614",0.62,0.38
"index_125222",0.162,0.838
"index_8583",1,0
"index_242227",1,0
"index_213354",1,0
"index_100183",1,0
"index_152908",1,0
"index_104351",1,0
"index_211360",0.878,0.122
"index_101015",0.008,0.992
"index_73521",1,0
"index_181869",1,0
"index_65707",0.194,0.806
"index_50298",1,0
"index_114655",1,0
"index_48277",1,0
"index_19524",1,0
"index_136395",0.874,0.126
"index_195993",0,1
"index_3624",1,0
"index_208265",0.93,0.07
"index_5779",1,0
"index_15650",1,0
"index_49110",1,0
"index_153579",1,0
"index_131202",1,0
"index_107978",0.878,0.122
"index_193964",1,0
"index_237297",0.878,0.122
"index_65460",1,0
"index_193599",1,0
"index_239344",1,0
"index_150321",1,0
"index_193341",1,0
"index_172044",1,0
"index_34125",0.846,0.154
"index_244113",1,0
"index_45965",1,0
"index_184704",0.64,0.36
"index_174091",0.678,0.322
"index_105582",0.078,0.922
"index_216229",0.69,0.31
"index_243249",1,0
"index_50426",1,0
"index_65339",0.846,0.154
"index_148940",1,0
"index_122703",0.162,0.838
"index_134298",0.016,0.984
"index_53334",0.988,0.012
"index_13425",0,1
"index_105751",1,0
"index_188952",0.878,0.122
"index_79914",1,0
"index_33957",1,0
"index_108315",1,0
"index_163257",1,0
"index_108259",1,0
"index_181524",0.426,0.574
"index_112161",1,0
"index_234275",1,0
"index_39453",0.658,0.342
"index_32754",1,0
"index_284",0.69,0.31
"index_22960",0.02,0.98
"index_91377",0,1
"index_11425",0.194,0.806
"index_128581",0.356,0.644
"index_177997",1,0
"index_84083",0,1
"index_96392",1,0
"index_23748",0.008,0.992
"index_144550",0.978,0.022
"index_216315",1,0
"index_226165",1,0
"index_196134",0,1
"index_37025",1,0
"index_25013",1,0
"index_144093",1,0
"index_21836",0.954,0.046
"index_223493",0.008,0.992
"index_3365",0.45,0.55
"index_232122",1,0
"index_43109",0.89,0.11
"index_17055",0.222,0.778
"index_138343",0.1,0.9
"index_227259",1,0
"index_243505",0.222,0.778
"index_73370",1,0
"index_144590",0.998,0.002
"index_75983",0.874,0.126
"index_223452",1,0
"index_80450",1,0
"index_212497",0.55,0.45
"index_20125",0.99,0.01
"index_152328",1,0
"index_178302",0.988,0.012
"index_194614",1,0
"index_4022",1,0
"index_211487",0.62,0.38
"index_158337",1,0
"index_239300",0,1
"index_243240",1,0
"index_26403",0.878,0.122
"index_34232",0.426,0.574
"index_167940",0.916,0.084
"index_195513",1,0
"index_234999",1,0
"index_74378",0.194,0.806
"index_54194",0.988,0.012
"index_191680",0.162,0.838
"index_248629",0.802,0.198
"index_113840",0.356,0.644
"index_100994",0.338,0.662
"index_93433",0.874,0.126
"index_116725",0.916,0.084
"index_61152",1,0
"index_29371",1,0
"index_205933",1,0
"index_99544",1,0
"index_151513",1,0
"index_39364",1,0
"index_50947",1,0
"index_228659",0.62,0.38
"index_221385",0.99,0.01
"index_28269",1,0
"index_74748",1,0
"index_46533",0.162,0.838
"index_39611",0.194,0.806
"index_240673",1,0
"index_12664",0.078,0.922
"index_210865",0.008,0.992
"index_40689",0.338,0.662
"index_214832",1,0
"index_32993",1,0
"index_189906",0.002,0.998
"index_208870",0.004,0.996
"index_57576",0.55,0.45
"index_169201",0.996,0.004
"index_163011",1,0
"index_77157",0.62,0.38
"index_137173",0.802,0.198
"index_168111",0.998,0.002
"index_128102",0.978,0.022
"index_245450",0.69,0.31
"index_101788",1,0
"index_76671",0.64,0.36
"index_103417",1,0
"index_216319",1,0
"index_179788",1,0
"index_224949",1,0
"index_81553",0,1
"index_208844",0.176,0.824
"index_244442",1,0
"index_234350",0.64,0.36
"index_220576",1,0
"index_40186",1,0
"index_183007",1,0
"index_179945",0.846,0.154
"index_49823",1,0
"index_56967",1,0
"index_32221",1,0
"index_187311",1,0
"index_238849",1,0
"index_175456",1,0
"index_29709",0.426,0.574
"index_74008",0.002,0.998
"index_138791",1,0
"index_53564",1,0
"index_97508",1,0
"index_205031",0.338,0.662
"index_6630",0.044,0.956
"index_189347",1,0
"index_125148",1,0
"index_139083",0.058,0.942
"index_29193",1,0
"index_120492",1,0
"index_177032",1,0
"index_234423",0.162,0.838
"index_126433",1,0
"index_31943",0.802,0.198
"index_138901",0.222,0.778
"index_163420",1,0
"index_139146",1,0
"index_236647",1,0
"index_41549",0.99,0.01
"index_137286",1,0
"index_241637",0.62,0.38
"index_194873",0.942,0.058
"index_139980",0.002,0.998
"index_130598",1,0
"index_170647",0.62,0.38
"index_236981",0.726,0.274
"index_196333",1,0
"index_3262",0.62,0.38
"index_54385",1,0
"index_133764",1,0
"index_190662",0.032,0.968
"index_120910",1,0
"index_102993",1,0
"index_115529",1,0
"index_247998",0,1
"index_44982",1,0
"index_5529",1,0
"index_4955",0.176,0.824
"index_132619",1,0
"index_164466",1,0
"index_168740",1,0
"index_150595",1,0
"index_168808",1,0
"index_189845",0.988,0.012
"index_23167",1,0
"index_176936",0.078,0.922
"index_98361",0.62,0.38
"index_88236",0.162,0.838
"index_110697",0.222,0.778
"index_17694",1,0
"index_119602",0.078,0.922
"index_118607",0.218,0.782
"index_102771",1,0
"index_7761",0.032,0.968
"index_32468",0.426,0.574
"index_223561",1,0
"index_173888",1,0
"index_211287",1,0
"index_31619",1,0
"index_187412",0.194,0.806
"index_217669",1,0
"index_198186",1,0
"index_223092",0.99,0.01
"index_227252",1,0
"index_145613",1,0
"index_226709",0.802,0.198
"index_137657",0.732,0.268
"index_206312",0.69,0.31
"index_73857",0,1
"index_227212",0.442,0.558
"index_185020",1,0
"index_47610",1,0
"index_26227",0.338,0.662
"index_56942",1,0
"index_123346",0.994,0.006
"index_1021",1,0
"index_16212",1,0
"index_40020",1,0
"index_230517",1,0
"index_62350",0.64,0.36
"index_93967",0.62,0.38
"index_203038",0.078,0.922
"index_154125",0.69,0.31
"index_78900",0.658,0.342
"index_165578",1,0
"index_213734",1,0
"index_194008",0.85,0.15
"index_190839",1,0
"index_74751",1,0
"index_133596",1,0
"index_62878",0.874,0.126
"index_17482",1,0
"index_93753",1,0
"index_215035",1,0
"index_96429",1,0
"index_27300",1,0
"index_97822",0.988,0.012
"index_207294",0.878,0.122
"index_108541",1,0
"index_36785",0.002,0.998
"index_149669",0.1,0.9
"index_162186",0.45,0.55
"index_145014",0.978,0.022
"index_188540",1,0
"index_5143",0.69,0.31
"index_159080",1,0
"index_106709",0.45,0.55
"index_58537",1,0
"index_19513",1,0
"index_55105",1,0
"index_57416",1,0
"index_13669",0.802,0.198
"index_212819",1,0
"index_140586",1,0
"index_156851",1,0
"index_128447",1,0
"index_201511",1,0
"index_176573",0.338,0.662
"index_172021",1,0
"index_198383",1,0
"index_26990",1,0
"index_151549",0.978,0.022
"index_170564",0.62,0.38
"index_123772",1,0
"index_144391",1,0
"index_200946",1,0
"index_169212",0.998,0.002
"index_238769",0.99,0.01
"index_51808",1,0
"index_31330",1,0
"index_132207",1,0
"index_114072",1,0
"index_9420",1,0
"index_64656",0.55,0.45
"index_196624",1,0
"index_228361",0.222,0.778
"index_107358",1,0
"index_12016",0.194,0.806
"index_196792",1,0
"index_113577",1,0
"index_172554",0.162,0.838
"index_208338",0.93,0.07
"index_186261",0.802,0.198
"index_178544",1,0
"index_228771",0.85,0.15
"index_100508",1,0
"index_129919",1,0
"index_173965",1,0
"index_190548",1,0
"index_126308",1,0
"index_167154",1,0
"index_142443",1,0
"index_139570",0.998,0.002
"index_67874",1,0
"index_151741",1,0
"index_245086",0.954,0.046
"index_47675",1,0
"index_236670",1,0
"index_9971",1,0
"index_70708",1,0
"index_202912",1,0
"index_181442",1,0
"index_188629",0.426,0.574
"index_76606",0,1
"index_239081",1,0
"index_73378",1,0
"index_179392",0.01,0.99
"index_215919",1,0
"index_237710",1,0
"index_216975",1,0
"index_151745",1,0
"index_134345",0,1
"index_73869",0.002,0.998
"index_238738",0.802,0.198
"index_2427",0.01,0.99
"index_39053",1,0
"index_143389",0.45,0.55
"index_236024",0.346,0.654
"index_77780",0.194,0.806
"index_44082",0.356,0.644
"index_175512",1,0
"index_190397",1,0
"index_69064",1,0
"index_155716",1,0
"index_135952",1,0
"index_37090",1,0
"index_68980",0.194,0.806
"index_97049",0.99,0.01
"index_188017",1,0
"index_115787",0.002,0.998
"index_65258",0.032,0.968
"index_59434",1,0
"index_97755",1,0
"index_199720",0.874,0.126
"index_101835",1,0
"index_93358",0.442,0.558
"index_123052",0.426,0.574
"index_103563",0,1
"index_187703",0.194,0.806
"index_171054",1,0
"index_161678",1,0
"index_133076",0.988,0.012
"index_234206",1,0
"index_70037",1,0
"index_218799",1,0
"index_240653",1,0
"index_116748",0.55,0.45
"index_68365",1,0
"index_98255",0.69,0.31
"index_207853",1,0
"index_215238",0.846,0.154
"index_103081",1,0
"index_13854",0.356,0.644
"index_105164",1,0
"index_240422",1,0
"index_12083",1,0
"index_67219",0.55,0.45
"index_23593",1,0
"index_3053",0.988,0.012
"index_163530",0.874,0.126
"index_177944",1,0
"index_163786",0.162,0.838
"index_130040",1,0
"index_84736",0.45,0.55
"index_181708",0.658,0.342
"index_4952",0.008,0.992
"index_80863",0.222,0.778
"index_172616",0.846,0.154
"index_220201",0.802,0.198
"index_246664",1,0
"index_103535",0.162,0.838
"index_71220",1,0
"index_75280",0.85,0.15
"index_61127",0.162,0.838
"index_99144",1,0
"index_171043",0.996,0.004
"index_33517",1,0
"index_131751",1,0
"index_33451",0.878,0.122
"index_69233",1,0
"index_131772",1,0
"index_187790",1,0
"index_176491",1,0
"index_221441",0.078,0.922
"index_223095",1,0
"index_27683",0.802,0.198
"index_99348",0.194,0.806
"index_237742",1,0
"index_116517",0.01,0.99
"index_87003",1,0
"index_145439",0.222,0.778
"index_155649",1,0
"index_181492",0.62,0.38
"index_221552",0.022,0.978
"index_127047",1,0
"index_216091",0.058,0.942
"index_78292",1,0
"index_193649",1,0
"index_113414",1,0
"index_215794",1,0
"index_130876",1,0
"index_156666",1,0
"index_14211",1,0
"index_61172",0.998,0.002
"index_178229",1,0
"index_125905",1,0
"index_215473",0.194,0.806
"index_165600",1,0
"index_51064",1,0
"index_208572",0.996,0.004
"index_209965",1,0
"index_58250",0,1
"index_173577",1,0
"index_76846",0.988,0.012
"index_183456",1,0
"index_149878",1,0
"index_97735",1,0
"index_8131",1,0
"index_181989",1,0
"index_197574",1,0
"index_223937",1,0
"index_184848",1,0
"index_75405",1,0
"index_169967",1,0
"index_54020",1,0
"index_53721",1,0
"index_1378",0.162,0.838
"index_700",1,0
"index_126329",0.426,0.574
"index_137662",1,0
"index_169370",0.878,0.122
"index_199942",1,0
"index_114411",1,0
"index_22092",0.044,0.956
"index_87006",1,0
"index_212213",0.474,0.526
"index_132906",0.332,0.668
"index_27377",1,0
"index_202922",1,0
"index_155562",0,1
"index_213113",1,0
"index_166428",0.802,0.198
"index_197405",1,0
"index_66169",0.01,0.99
"index_93313",0.356,0.644
"index_162475",1,0
"index_207849",1,0
"index_203304",0.194,0.806
"index_61629",0.62,0.38
"index_213440",1,0
"index_37060",1,0
"index_71931",0.01,0.99
"index_222973",1,0
"index_171826",1,0
"index_52338",1,0
"index_36449",1,0
"index_156840",1,0
"index_105483",0.064,0.936
"index_147149",1,0
"index_118726",0.01,0.99
"index_77789",1,0
"index_163192",1,0
"index_89591",0,1
"index_180590",1,0
"index_30950",1,0
"index_48215",0.016,0.984
"index_240355",1,0
"index_122144",0.194,0.806
"index_160275",0.058,0.942
"index_109872",0.62,0.38
"index_81458",1,0
"index_86909",0.732,0.268
"index_94449",1,0
"index_50844",0.002,0.998
"index_133637",1,0
"index_219072",1,0
"index_38970",0.62,0.38
"index_213620",1,0
"index_241153",1,0
"index_101415",0.996,0.004
"index_49924",1,0
"index_176147",0.802,0.198
"index_50775",1,0
"index_169747",1,0
"index_79570",1,0
"index_88049",1,0
"index_40365",0.194,0.806
"index_114421",1,0
"index_228256",0.878,0.122
"index_141087",1,0
"index_132585",0.45,0.55
"index_185269",0.878,0.122
"index_117927",0.64,0.36
"index_150972",1,0
"index_187501",1,0
"index_37951",0.1,0.9
"index_34462",1,0
"index_227638",1,0
"index_150148",1,0
"index_132028",1,0
"index_206922",1,0
"index_212154",0.1,0.9
"index_33802",1,0
"index_192620",1,0
"index_182214",0.69,0.31
"index_178976",0,1
"index_35214",0.426,0.574
"index_45903",1,0
"index_242450",1,0
"index_16878",0.55,0.45
"index_201103",0.99,0.01
"index_121747",0.162,0.838
"index_112107",1,0
"index_140884",0.222,0.778
"index_99490",1,0
"index_99833",1,0
"index_25438",1,0
"index_223436",1,0
"index_98750",1,0
"index_161360",0.002,0.998
"index_177058",1,0
"index_173508",1,0
"index_218535",1,0
"index_9330",1,0
"index_212142",0.802,0.198
"index_56693",0.058,0.942
"index_140408",1,0
"index_189049",0.988,0.012
"index_173029",1,0
"index_211019",1,0
"index_135740",1,0
"index_82995",0.55,0.45
"index_27611",1,0
"index_100490",1,0
"index_122983",0.426,0.574
"index_3652",0.996,0.004
"index_4734",0.942,0.058
"index_55379",1,0
"index_158356",1,0
"index_128127",1,0
"index_248304",1,0
"index_150247",1,0
"index_196331",1,0
"index_122327",0.878,0.122
"index_79820",1,0
"index_12269",1,0
"index_21822",0.64,0.36
"index_65626",1,0
"index_2318",0.64,0.36
"index_102874",1,0
"index_183962",1,0
"index_101981",1,0
"index_101544",1,0
"index_79420",1,0
"index_144946",1,0
"index_184919",1,0
"index_215445",1,0
"index_198037",1,0
"index_172134",1,0
"index_162034",0.058,0.942
"index_157184",1,0
"index_11377",0.928,0.072
"index_147511",0.028,0.972
"index_131904",1,0
"index_227967",0.426,0.574
"index_209023",1,0
"index_95418",0.64,0.36
"index_21318",0.97,0.03
"index_151319",1,0
"index_153484",1,0
"index_200384",1,0
"index_56431",1,0
"index_19706",1,0
"index_191751",1,0
"index_74188",1,0
"index_245945",1,0
"index_221430",1,0
"index_151287",1,0
"index_163531",1,0
"index_12037",0.64,0.36
"index_63259",0.442,0.558
"index_200597",1,0
"index_128383",1,0
"index_184729",1,0
"index_154706",1,0
"index_106162",1,0
"index_150278",0.046,0.954
"index_42154",0.222,0.778
"index_110207",0.874,0.126
"index_202979",0.93,0.07
"index_126624",1,0
"index_237712",0.162,0.838
"index_178798",0.874,0.126
"index_122783",1,0
"index_107510",1,0
"index_203271",0.55,0.45
"index_175485",1,0
"index_187130",1,0
"index_180497",1,0
"index_6216",1,0
"index_147355",0.356,0.644
"index_83963",1,0
"index_175751",1,0
"index_176842",0.85,0.15
"index_64968",1,0
"index_172130",1,0
"index_113115",1,0
"index_77654",1,0
"index_168371",1,0
"index_78645",1,0
"index_170836",1,0
"index_137183",0,1
"index_44657",1,0
"index_55169",1,0
"index_96994",1,0
"index_66208",0.008,0.992
"index_118867",1,0
"index_40865",1,0
"index_191308",1,0
"index_152789",1,0
"index_96332",0.194,0.806
"index_28445",1,0
"index_191919",0.002,0.998
"index_219465",1,0
"index_191409",1,0
"index_67680",0.744,0.256
"index_83975",1,0
"index_204364",0.744,0.256
"index_53376",0.988,0.012
"index_45515",0.69,0.31
"index_18969",1,0
"index_19557",1,0
"index_207592",1,0
"index_77508",1,0
"index_38878",0.62,0.38
"index_31081",1,0
"index_225908",1,0
"index_192731",0.99,0.01
"index_47853",0.016,0.984
"index_31884",1,0
"index_82074",1,0
"index_115994",0.45,0.55
"index_201426",0.998,0.002
"index_46599",0.356,0.644
"index_233437",0,1
"index_100884",1,0
"index_236056",1,0
"index_120183",1,0
"index_110583",1,0
"index_117646",1,0
"index_66363",1,0
"index_175716",0.426,0.574
"index_214360",1,0
"index_237231",1,0
"index_145508",0,1
"index_248907",0.99,0.01
"index_101887",0.952,0.048
"index_166730",1,0
"index_528",0,1
"index_216941",1,0
"index_43947",0.016,0.984
"index_165257",1,0
"index_63993",1,0
"index_81268",0.222,0.778
"index_78764",1,0
"index_138466",0.988,0.012
"index_162",0.658,0.342
"index_177438",0.988,0.012
"index_10202",0.93,0.07
"index_215994",1,0
"index_182858",1,0
"index_100660",1,0
"index_120566",1,0
"index_68717",1,0
"index_178494",1,0
"index_53513",0.988,0.012
"index_134638",0.01,0.99
"index_115805",1,0
"index_180494",1,0
"index_126551",1,0
"index_51493",1,0
"index_72143",1,0
"index_161954",0.01,0.99
"index_165077",1,0
"index_68803",1,0
"index_190745",1,0
"index_195623",1,0
"index_72238",1,0
"index_35995",1,0
"index_66776",0.356,0.644
"index_3454",1,0
"index_26783",1,0
"index_27634",1,0
"index_97666",1,0
"index_80424",0.194,0.806
"index_142088",1,0
"index_19999",1,0
"index_111231",1,0
"index_101372",1,0
"index_131293",1,0
"index_88800",0.658,0.342
"index_110713",1,0
"index_233206",0.64,0.36
"index_19797",1,0
"index_136529",0.162,0.838
"index_139819",1,0
"index_92844",1,0
"index_83936",1,0
"index_221827",1,0
"index_80590",1,0
"index_34467",0.744,0.256
"index_179113",0.996,0.004
"index_229289",1,0
"index_150833",1,0
"index_26171",1,0
"index_10722",0.368,0.632
"index_131448",1,0
"index_97769",1,0
"index_99017",1,0
"index_187052",1,0
"index_145842",0.998,0.002
"index_25966",0.442,0.558
"index_162735",0.01,0.99
"index_181945",1,0
"index_152799",1,0
"index_101728",1,0
"index_165251",1,0
"index_60432",0.728,0.272
"index_48176",0.016,0.984
"index_135614",0.878,0.122
"index_162819",1,0
"index_94443",1,0
"index_7495",1,0
"index_178331",1,0
"index_182747",1,0
"index_3801",1,0
"index_227079",1,0
"index_23968",0.744,0.256
"index_179497",1,0
"index_160754",1,0
"index_157783",0,1
"index_159946",1,0
"index_166545",1,0
"index_180137",1,0
"index_96020",1,0
"index_157046",1,0
"index_5750",1,0
"index_140190",1,0
"index_226018",1,0
"index_49156",0,1
"index_221710",1,0
"index_142057",1,0
"index_1853",0.426,0.574
"index_11012",1,0
"index_102766",0.046,0.954
"index_229040",1,0
"index_142631",0.998,0.002
"index_67217",1,0
"index_179981",0.078,0.922
"index_217658",1,0
"index_19127",1,0
"index_217695",0.988,0.012
"index_43245",1,0
"index_70553",1,0
"index_152692",1,0
"index_221321",1,0
"index_212521",1,0
"index_106042",1,0
"index_238236",1,0
"index_23955",1,0
"index_32044",0.222,0.778
"index_134537",0.046,0.954
"index_245255",1,0
"index_5519",1,0
"index_56695",0.332,0.668
"index_152153",0.846,0.154
"index_171141",1,0
"index_203795",0.978,0.022
"index_13055",1,0
"index_219915",0.62,0.38
"index_159623",0.99,0.01
"index_180088",1,0
"index_210100",1,0
"index_235764",0.162,0.838
"index_131956",1,0
"index_62311",0.002,0.998
"index_99698",1,0
"index_41737",0.346,0.654
"index_79610",0.506,0.494
"index_79873",1,0
"index_231131",1,0
"index_133520",1,0
"index_180753",1,0
"index_46451",0.988,0.012
"index_191682",1,0
"index_65933",0.058,0.942
"index_174766",0,1
"index_163097",0,1
"index_17674",1,0
"index_26610",1,0
"index_217458",0.874,0.126
"index_168720",1,0
"index_35409",1,0
"index_153373",0.01,0.99
"index_90312",1,0
"index_170005",0.008,0.992
"index_11415",1,0
"index_242079",0.89,0.11
"index_149923",0.162,0.838
"index_129314",1,0
"index_49836",1,0
"index_120400",0.69,0.31
"index_55200",0,1
"index_83619",0.1,0.9
"index_72796",0.878,0.122
"index_230912",1,0
"index_205990",1,0
"index_129422",1,0
"index_63602",0.916,0.084
"index_11542",1,0
"index_234353",0.162,0.838
"index_69097",1,0
"index_229639",1,0
"index_216720",1,0
"index_39679",1,0
"index_12745",1,0
"index_141801",0.45,0.55
"index_132818",0.69,0.31
"index_194185",1,0
"index_115421",0.01,0.99
"index_83603",0.878,0.122
"index_247547",0.726,0.274
"index_151357",1,0
"index_224480",1,0
"index_110752",1,0
"index_125622",1,0
"index_47996",0.93,0.07
"index_30536",1,0
"index_10445",0.45,0.55
"index_94208",1,0
"index_248087",0.64,0.36
"index_135431",0.1,0.9
"index_134394",0.338,0.662
"index_103139",1,0
"index_125762",1,0
"index_184224",0.69,0.31
"index_39278",1,0
"index_181694",0.55,0.45
"index_95574",1,0
"index_157395",0.356,0.644
"index_238011",0.62,0.38
"index_24636",0.346,0.654
"index_79814",1,0
"index_228969",1,0
"index_65591",0.45,0.55
"index_239330",0.004,0.996
"index_177920",1,0
"index_7455",1,0
"index_144931",1,0
"index_15503",0.078,0.922
"index_92772",1,0
"index_59247",1,0
"index_197267",0.45,0.55
"index_52746",1,0
"index_150416",1,0
"index_70099",1,0
"index_81692",1,0
"index_151061",1,0
"index_224009",0.078,0.922
"index_222036",1,0
"index_233035",0.728,0.272
"index_15798",1,0
"index_43139",0.194,0.806
"index_229579",0.162,0.838
"index_140823",1,0
"index_154917",1,0
"index_227752",1,0
"index_241601",1,0
"index_191126",0.64,0.36
"index_82384",0.058,0.942
"index_172915",1,0
"index_49145",0,1
"index_201872",1,0
"index_178347",1,0
"index_39140",0.99,0.01
"index_246431",0.878,0.122
"index_222212",1,0
"index_209628",1,0
"index_39650",1,0
"index_153207",0.998,0.002
"index_210852",1,0
"index_902",0.442,0.558
"index_158890",1,0
"index_208422",1,0
"index_190281",1,0
"index_193499",1,0
"index_77606",0.64,0.36
"index_185270",0.878,0.122
"index_220388",1,0
"index_194079",1,0
"index_110777",0.99,0.01
"index_140028",1,0
"index_100256",1,0
"index_163230",1,0
"index_114663",0.64,0.36
"index_206669",1,0
"index_1472",1,0
"index_176812",1,0
"index_41110",1,0
"index_17957",1,0
"index_136990",1,0
"index_185212",0.058,0.942
"index_147969",0.162,0.838
"index_167889",0.45,0.55
"index_230254",1,0
"index_67044",1,0
"index_119027",0,1
"index_154214",0.162,0.838
"index_176693",1,0
"index_221121",0.998,0.002
"index_140128",1,0
"index_229834",0.032,0.968
"index_225331",0,1
"index_7718",0.044,0.956
"index_144203",0.162,0.838
"index_93545",1,0
"index_153055",0.01,0.99
"index_171960",1,0
"index_101883",1,0
"index_188676",1,0
"index_104810",1,0
"index_125424",1,0
"index_116979",1,0
"index_89056",1,0
"index_182357",1,0
"index_143614",0.69,0.31
"index_201355",1,0
"index_80975",1,0
"index_179049",0.834,0.166
"index_1759",1,0
"index_205762",1,0
"index_27584",0.01,0.99
"index_226969",1,0
"index_43775",0.62,0.38
"index_233048",1,0
"index_177254",1,0
"index_95309",0,1
"index_36440",1,0
"index_93078",0.356,0.644
"index_52378",1,0
"index_218734",1,0
"index_64830",1,0
"index_227444",1,0
"index_65564",0.01,0.99
"index_7801",0.1,0.9
"index_124426",0.678,0.322
"index_219633",0.62,0.38
"index_181396",1,0
"index_105231",1,0
"index_27948",1,0
"index_20680",1,0
"index_233137",1,0
"index_205519",1,0
"index_194255",0.64,0.36
"index_53451",0.85,0.15
"index_239383",0.988,0.012
"index_186100",0.874,0.126
"index_18147",1,0
"index_9099",0,1
"index_87001",1,0
"index_178177",0.69,0.31
"index_197192",1,0
"index_3799",1,0
"index_89596",0.016,0.984
"index_16899",0.69,0.31
"index_166813",0.002,0.998
"index_179692",1,0
"index_161134",0,1
"index_162315",0.002,0.998
"index_131926",0.016,0.984
"index_78032",1,0
"index_13811",1,0
"index_64624",0.85,0.15
"index_36419",0.64,0.36
"index_133925",0.878,0.122
"index_202530",1,0
"index_247835",1,0
"index_15147",0.194,0.806
"index_86170",0.008,0.992
"index_195674",1,0
"index_103300",1,0
"index_27311",1,0
"index_49678",1,0
"index_178371",1,0
"index_27940",1,0
"index_151975",1,0
"index_204372",1,0
"index_119396",1,0
"index_115091",1,0
"index_150598",1,0
"index_127006",1,0
"index_40659",0.338,0.662
